,0,1,2,3,4,5,6,7,8,9,10,11
0,"SCORES: s, c, l, score",0.002777777777777778,1.0,1.0,6.002777777777778,RULES,weld depth copper (µm),581.003765829639,613.0879913054923,,,
1,"SCORES: s, c, l, score",0.002777777777777778,1.0,1.0,6.002777777777778,RULES,welding speed (m/min),0.7999999999999999,0.8712491689028008,weld depth copper (µm),683.3930998547114,700.6730783521805
2,"SCORES: s, c, l, score",0.002777777777777778,1.0,1.0,6.002777777777778,RULES,weld depth copper (µm),587.0644236970777,591.9060921770799,,,
3,"SCORES: s, c, l, score",0.005555555555555556,1.0,0.5,3.5055555555555555,RULES,gas flow rate (l/min),13.61065049294702,15.063256416951578,weld depth copper (µm),462.0598586443915,485.69628255406576
4,"SCORES: s, c, l, score",0.008333333333333333,1.0,0.3333333333333333,2.675,RULES,gas flow rate (l/min),13.61065049294702,15.063256416951578,weld depth copper (µm),435.2834835444643,485.69628255406576
5,"SCORES: s, c, l, score",0.011111111111111112,1.0,0.25,2.261111111111111,RULES,weld depth copper (µm),468.6090854682763,489.80958922490555,,,
6,"SCORES: s, c, l, score",0.013888888888888888,1.0,0.2,2.013888888888889,RULES,weld depth copper (µm),530.0573775528223,577.0844802967638,material thickness (mm),0.4889065255723149,0.5142630762155797
7,"SCORES: s, c, l, score",0.016666666666666666,1.0,0.16666666666666666,1.8499999999999999,RULES,weld depth copper (µm),508.4925492871766,560.952191804282,,,
8,"SCORES: s, c, l, score",0.005555555555555556,0.6666666666666666,0.2222222222222222,1.7833333333333332,RULES,weld depth copper (µm),394.07853537919493,424.3849024139801,,,
9,"SCORES: s, c, l, score",0.002777777777777778,0.5,0.25,1.7527777777777778,RULES,welding speed (m/min),0.7999999999999999,0.8210744526957747,weld depth copper (µm),340.76593005219974,383.27839830596577
