,0,1,2,3,4,5,6,7,8,9,10,11
0,RULES,welding speed (m/min),0.7999999999999999,0.8853413897118121,focal position (mm),-0.03702464062704891,0.17867390413143305,"SCORES: s, c, l, score",0.041666666666666664,0.75,0.0375,0.9791666666666666
1,RULES,welding speed (m/min),0.8,0.800437814061209,gas flow rate (l/min),13.2662840858222,15.456293083845736,"SCORES: s, c, l, score",0.03611111111111111,0.65,0.0325,0.8486111111111111
2,RULES,welding speed (m/min),0.8,0.8581056671373306,angular position (°),13.709281293751808,15.351253476651362,"SCORES: s, c, l, score",0.07777777777777778,0.4666666666666667,0.0077777777777777776,0.5833333333333334
3,RULES,angular position (°),13.293912902520383,18.030669554274418,material thickness (mm),0.49265643724750324,0.5115032315177648,"SCORES: s, c, l, score",0.04722222222222222,0.2833333333333333,0.004722222222222222,0.35416666666666663
4,RULES,gas flow rate (l/min),9.680684469364467,11.171861914267403,"SCORES: s, c, l, score",0.09166666666666666,0.2357142857142857,0.0016836734693877551,0.3357993197278912,,,
5,RULES,angular position (°),14.639962622438869,19.74089637272954,"SCORES: s, c, l, score",0.08888888888888889,0.22857142857142856,0.0016326530612244896,0.3256235827664399,,,
6,RULES,angular position (°),-4.247531672560896,0.37535273411367776,"SCORES: s, c, l, score",0.05,0.225,0.0028125,0.2890625,,,
7,RULES,welding speed (m/min),0.7999999999999999,0.8099087401235107,"SCORES: s, c, l, score",0.07777777777777778,0.2,0.0014285714285714286,0.2849206349206349,,,
8,RULES,material thickness (mm),0.4845325636072594,0.5144614698372361,welding speed (m/min),0.7999999999999999,0.8595495393080844,"SCORES: s, c, l, score",0.03611111111111111,0.21666666666666667,0.0036111111111111114,0.2708333333333333
9,RULES,welding speed (m/min),0.8,0.8445294397655638,material thickness (mm),0.49227556005987055,0.5308864585313053,"SCORES: s, c, l, score",0.03611111111111111,0.21666666666666667,0.0036111111111111114,0.2708333333333333
