,0,1,2,3,4,5,6,7,8,9,10,11
0,"SCORES: s, c, l, score",0.05,1.0,0.05555555555555555,5.972222222222222,RULES,weld depth copper (µm),423.42152917044575,505.20560167443193,,,
1,"SCORES: s, c, l, score",0.04722222222222222,1.0,0.058823529411764705,5.941993464052288,RULES,weld depth copper (µm),428.7570822939287,505.20560167443193,,,
2,"SCORES: s, c, l, score",0.044444444444444446,1.0,0.0625,5.909722222222222,RULES,weld depth copper (µm),428.7570822939287,488.64116891698626,,,
3,"SCORES: s, c, l, score",0.041666666666666664,0.9375,0.05859375,5.852864583333333,RULES,weld depth copper (µm),397.74040573004953,474.7957856380002,,,
4,"SCORES: s, c, l, score",0.03888888888888889,0.9333333333333333,0.06222222222222222,5.816666666666666,RULES,weld depth copper (µm),410.89074004806537,476.3276315663823,,,
5,"SCORES: s, c, l, score",0.03611111111111111,0.9285714285714286,0.0663265306122449,5.77749433106576,RULES,weld depth copper (µm),410.29092416533956,468.1667522377426,,,
6,"SCORES: s, c, l, score",0.041666666666666664,0.75,0.0375,5.770833333333333,RULES,focal position (mm),-0.5426650212428608,0.12403701665939992,angular position (°),14.803344586909663,15.119552235654627
7,"SCORES: s, c, l, score",0.03333333333333333,1.0,0.08333333333333333,5.75,RULES,weld depth copper (µm),424.629439603561,463.8897124075777,,,
8,"SCORES: s, c, l, score",0.03333333333333333,0.9230769230769231,0.07100591715976332,5.734714003944774,RULES,weld depth copper (µm),372.6289430988082,447.62313603020976,,,
9,"SCORES: s, c, l, score",0.030555555555555555,1.0,0.09090909090909091,5.698232323232323,RULES,weld depth copper (µm),451.01208574943036,490.01961887975386,,,
