,0,1,2,3,4,5,6,7,8,9,10,11
0,"SCORES: s, c, l, score",0.002777777777777778,1.0,1.0,6.0055555555555555,RULES,weld depth copper (µm),678.772637601067,700.1905044565623,,,
1,"SCORES: s, c, l, score",0.002777777777777778,1.0,1.0,6.0055555555555555,RULES,material thickness (mm),0.45925543014178427,0.5011740916467624,weld depth copper (µm),606.9697077033624,676.7214396565685
2,"SCORES: s, c, l, score",0.002777777777777778,1.0,1.0,6.0055555555555555,RULES,weld depth copper (µm),613.3056933324598,689.1866431128551,material thickness (mm),0.4841579946489658,0.5099872029429002
3,"SCORES: s, c, l, score",0.005555555555555556,1.0,0.5,3.511111111111111,RULES,weld depth copper (µm),690.1170668254938,731.6908106897923,,,
4,"SCORES: s, c, l, score",0.008333333333333333,1.0,0.3333333333333333,2.683333333333333,RULES,weld depth copper (µm),373.23297563512705,393.86259212908124,,,
5,"SCORES: s, c, l, score",0.008333333333333333,1.0,0.3333333333333333,2.683333333333333,RULES,weld depth copper (µm),647.900056994826,715.3748174070037,,,
6,"SCORES: s, c, l, score",0.011111111111111112,1.0,0.25,2.272222222222222,RULES,weld depth copper (µm),631.3443686666441,706.5815177322512,,,
7,"SCORES: s, c, l, score",0.013888888888888888,1.0,0.2,2.0277777777777777,RULES,weld depth copper (µm),427.5587014740153,450.4709234662258,,,
8,"SCORES: s, c, l, score",0.016666666666666666,1.0,0.16666666666666666,1.8666666666666667,RULES,weld depth copper (µm),527.2908577575203,558.3579887872376,,,
9,"SCORES: s, c, l, score",0.005555555555555556,0.6666666666666666,0.2222222222222222,1.7888888888888888,RULES,weld depth copper (µm),246.58562515616012,272.885664019938,,,
