,0,1,2,3,4,5,6,7,8,9,10,11
0,"SCORES: s, c, l, score",0.07777777777777778,0.4666666666666667,0.0077777777777777776,5.816666666666666,RULES,welding speed (m/min),0.7999999999999999,0.801465127668702,angular position (°),14.540142620147998,17.999566999310623
1,"SCORES: s, c, l, score",0.041666666666666664,0.75,0.0375,5.770833333333333,RULES,welding speed (m/min),0.7999999999999999,0.8838869222939523,focal position (mm),-0.07803455011633265,0.5921320231842171
2,"SCORES: s, c, l, score",0.030555555555555555,0.9166666666666666,0.07638888888888888,5.6875,RULES,weld depth copper (µm),399.66797623557636,461.27075657975917,,,
3,"SCORES: s, c, l, score",0.03611111111111111,0.65,0.0325,5.668055555555556,RULES,material thickness (mm),0.4951990077376034,0.5271484853020473,gas flow rate (l/min),14.47620216040097,16.273666666563802
4,"SCORES: s, c, l, score",0.08888888888888889,0.22857142857142856,0.0016326530612244896,5.664852607709751,RULES,angular position (°),9.520782806940545,16.13968528162059,,,
5,"SCORES: s, c, l, score",0.027777777777777776,1.0,0.1,5.638888888888889,RULES,weld depth copper (µm),517.3533510253156,576.2604431440826,,,
6,"SCORES: s, c, l, score",0.07777777777777778,0.2,0.0014285714285714286,5.5817460317460315,RULES,welding speed (m/min),0.8,0.804970829604466,,,
7,"SCORES: s, c, l, score",0.05,0.225,0.0028125,5.4609375,RULES,angular position (°),-0.2293709286295389,2.4357868275559236,,,
8,"SCORES: s, c, l, score",0.06111111111111111,0.15714285714285714,0.0011224489795918367,5.457086167800454,RULES,focal position (mm),-2.0005343532169926,-1.4596307888913207,,,
9,"SCORES: s, c, l, score",0.019444444444444445,0.875,0.109375,5.425347222222222,RULES,weld depth copper (µm),397.59314412294634,444.96025316791037,,,
