,0,1,2,3,4,5,6,7,8,9,10,11
0,RULES,material thickness (mm),0.48524904659273527,0.5018869668399715,weld depth copper (µm),316.3627008554558,384.405418014125,"SCORES: s, c, l, score",0.002777777777777778,1.0,1.0,6.002777777777778
1,RULES,welding speed (m/min),0.8,0.8163743234280232,weld depth copper (µm),671.6036071228815,696.8644889590882,"SCORES: s, c, l, score",0.002777777777777778,1.0,1.0,6.002777777777778
2,RULES,weld depth copper (µm),360.6916232684685,388.73641285173125,gas flow rate (l/min),14.389891962122004,15.36247566550193,"SCORES: s, c, l, score",0.002777777777777778,1.0,1.0,6.002777777777778
3,RULES,welding speed (m/min),0.8,0.8163743234280232,weld depth copper (µm),671.6036071228815,723.1311981182519,"SCORES: s, c, l, score",0.005555555555555556,1.0,0.5,3.5055555555555555
4,RULES,material thickness (mm),0.47342449884909665,0.502360096900921,weld depth copper (µm),521.2617941047545,569.4901192681596,"SCORES: s, c, l, score",0.008333333333333333,1.0,0.3333333333333333,2.675
5,RULES,weld depth copper (µm),477.73049290029496,494.25841812286006,"SCORES: s, c, l, score",0.011111111111111112,1.0,0.25,2.261111111111111,,,
6,RULES,weld depth copper (µm),362.8337632398188,397.5683660844382,"SCORES: s, c, l, score",0.013888888888888888,1.0,0.2,2.013888888888889,,,
7,RULES,gas flow rate (l/min),14.044802416914008,16.145451956418206,weld depth copper (µm),544.0472343971527,619.8439814773512,"SCORES: s, c, l, score",0.016666666666666666,1.0,0.16666666666666666,1.8499999999999999
8,RULES,weld depth copper (µm),614.6079214432843,642.1512730824586,"SCORES: s, c, l, score",0.002777777777777778,0.5,0.25,1.7527777777777778,,,
9,RULES,weld depth copper (µm),386.76965062743307,444.07005977978486,welding speed (m/min),0.7999999999999999,0.8531755565976249,"SCORES: s, c, l, score",0.008333333333333333,0.75,0.1875,1.6958333333333333
